"SalesOrderID","OrderDate","OrderQty","UnitPrice","StandardCost","ProductName","TerritoryName","CountryRegionCode","ProductCategory"
44074,9/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Red, 44","Northeast","US","Road Bikes"
44074,9/1/2010 0:00:00,1,$5.19,$6.92,"AWC Logo Cap","Northeast","US","Caps"
44074,9/1/2010 0:00:00,1,$419.46,$486.71,"Road-650 Black, 52","Northeast","US","Road Bikes"
44075,9/1/2010 0:00:00,1,$2039.99,$1912.15,"Mountain-100 Silver, 44","Northwest","US","Mountain Bikes"
44075,9/1/2010 0:00:00,4,$2039.99,$1912.15,"Mountain-100 Silver, 38","Northwest","US","Mountain Bikes"
44075,9/1/2010 0:00:00,1,$2024.99,$1898.09,"Mountain-100 Black, 44","Northwest","US","Mountain Bikes"
44075,9/1/2010 0:00:00,2,$2024.99,$1898.09,"Mountain-100 Black, 48","Northwest","US","Mountain Bikes"
44075,9/1/2010 0:00:00,2,$5.70,$3.40,"Mountain Bike Socks, M","Northwest","US","Socks"
44075,9/1/2010 0:00:00,1,$5.70,$3.40,"Mountain Bike Socks, L","Northwest","US","Socks"
44075,9/1/2010 0:00:00,2,$2024.99,$1898.09,"Mountain-100 Black, 38","Northwest","US","Mountain Bikes"
44075,9/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 42","Northwest","US","Mountain Bikes"
44075,9/1/2010 0:00:00,1,$2024.99,$1898.09,"Mountain-100 Black, 42","Northwest","US","Mountain Bikes"
44076,9/1/2010 0:00:00,1,$2039.99,$1912.15,"Mountain-100 Silver, 38","Central","US","Mountain Bikes"
44076,9/1/2010 0:00:00,1,$2039.99,$1912.15,"Mountain-100 Silver, 42","Central","US","Mountain Bikes"
44077,9/1/2010 0:00:00,1,$874.79,$884.71,"Road-450 Red, 52","Canada","CA","Road Bikes"
44077,9/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Black, 52","Canada","CA","Road Bikes"
44077,9/1/2010 0:00:00,1,$28.84,$38.49,"Long-Sleeve Logo Jersey, L","Canada","CA","Jerseys"
44077,9/1/2010 0:00:00,2,$20.19,$13.09,"Sport-100 Helmet, Black","Canada","CA","Helmets"
44077,9/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Red, 60","Canada","CA","Road Bikes"
44077,9/1/2010 0:00:00,3,$874.79,$884.71,"Road-450 Red, 58","Canada","CA","Road Bikes"
44077,9/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Red, 44","Canada","CA","Road Bikes"
44077,9/1/2010 0:00:00,1,$20.19,$13.09,"Sport-100 Helmet, Red","Canada","CA","Helmets"
44078,9/1/2010 0:00:00,1,$722.59,$747.20,"HL Mountain Frame - Silver, 46","Northwest","US","Mountain Frames"
44078,9/1/2010 0:00:00,2,$714.70,$739.04,"HL Mountain Frame - Black, 42","Northwest","US","Mountain Frames"
44078,9/1/2010 0:00:00,1,$714.70,$739.04,"HL Mountain Frame - Black, 38","Northwest","US","Mountain Frames"
44078,9/1/2010 0:00:00,3,$2024.99,$1898.09,"Mountain-100 Black, 44","Northwest","US","Mountain Bikes"
44078,9/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 42","Northwest","US","Mountain Bikes"
44078,9/1/2010 0:00:00,5,$2024.99,$1898.09,"Mountain-100 Black, 48","Northwest","US","Mountain Bikes"
44078,9/1/2010 0:00:00,1,$818.70,$706.81,"HL Mountain Frame - Silver, 48","Northwest","US","Mountain Frames"
44078,9/1/2010 0:00:00,2,$2039.99,$1912.15,"Mountain-100 Silver, 38","Northwest","US","Mountain Bikes"
44079,9/1/2010 0:00:00,2,$874.79,$884.71,"Road-450 Red, 58","Central","US","Road Bikes"
44079,9/1/2010 0:00:00,2,$874.79,$884.71,"Road-450 Red, 44","Central","US","Road Bikes"
44079,9/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Black, 52","Central","US","Road Bikes"
44079,9/1/2010 0:00:00,2,$419.46,$486.71,"Road-650 Black, 44","Central","US","Road Bikes"
44079,9/1/2010 0:00:00,4,$20.19,$13.09,"Sport-100 Helmet, Red","Central","US","Helmets"
44079,9/1/2010 0:00:00,3,$183.94,$187.16,"LL Road Frame - Red, 60","Central","US","Road Frames"
44079,9/1/2010 0:00:00,3,$874.79,$884.71,"Road-450 Red, 60","Central","US","Road Bikes"
44079,9/1/2010 0:00:00,4,$419.46,$486.71,"Road-650 Red, 48","Central","US","Road Bikes"
44079,9/1/2010 0:00:00,2,$20.19,$13.09,"Sport-100 Helmet, Black","Central","US","Helmets"
44079,9/1/2010 0:00:00,4,$419.46,$486.71,"Road-650 Red, 62","Central","US","Road Bikes"
